symboling,fueltype,aspiration,enginelocation,wheelbase,carlength,carheight,curbweight,enginesize,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,fuelsystem_2bbl,fuelsystem_4bbl,fuelsystem_mfi,fuelsystem_mpfi,fuelsystem_spdi,fuelsystem_spfi,power_per_volume
3,1,0,0,88.6,168.8,48.8,2548,130,3.47,2.68,9.0,111,5000,21,27,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8538461538461538
1,1,0,0,94.5,171.2,52.4,2823,152,2.68,3.47,9.0,154,5000,19,26,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.013157894736842
2,1,0,0,99.8,176.6,54.3,2337,109,3.19,3.4,10.0,102,5500,24,30,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9357798165137616
2,1,0,0,99.4,176.6,54.3,2824,136,3.19,3.4,8.0,115,5500,18,22,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8455882352941176
2,1,0,0,99.8,177.3,53.1,2507,136,3.19,3.4,8.5,110,5500,19,25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8088235294117647
1,1,0,0,105.8,192.7,55.7,2844,136,3.19,3.4,8.5,110,5500,19,25,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8088235294117647
1,1,0,0,105.8,192.7,55.7,2954,136,3.19,3.4,8.5,110,5500,19,25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8088235294117647
1,1,1,0,105.8,192.7,55.9,3086,131,3.13,3.4,8.3,140,5500,17,20,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.068702290076336
0,1,1,0,99.5,178.2,52.0,3053,131,3.13,3.4,7.0,160,5500,16,22,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.2213740458015268
2,1,0,0,101.2,176.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9351851851851852
0,1,0,0,101.2,176.8,54.3,2395,108,3.5,2.8,8.8,101,5800,23,29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.9351851851851852
0,1,0,0,101.2,176.8,54.3,2710,164,3.31,3.19,9.0,121,4250,21,28,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7378048780487805
0,1,0,0,101.2,176.8,54.3,2765,164,3.31,3.19,9.0,121,4250,21,28,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7378048780487805
1,1,0,0,103.5,189.0,55.7,3055,164,3.31,3.19,9.0,121,4250,20,25,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.7378048780487805
0,1,0,0,103.5,189.0,55.7,3230,209,3.62,3.39,8.0,182,5400,16,22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8708133971291866
0,1,0,0,103.5,193.8,53.7,3380,209,3.62,3.39,8.0,182,5400,16,22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8708133971291866
0,1,0,0,110.0,197.0,56.3,3505,209,3.62,3.39,8.0,182,5400,15,20,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.8708133971291866
2,1,0,0,88.4,141.1,53.2,1488,61,2.91,3.03,9.5,48,5100,47,53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7868852459016393
1,1,0,0,94.5,155.9,52.0,1874,90,3.03,3.11,9.6,70,5400,38,43,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778
0,1,0,0,94.5,158.8,52.0,1909,90,3.03,3.11,9.6,70,5400,38,43,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778
1,1,0,0,93.7,157.3,50.8,1876,90,2.97,3.23,9.41,68,5500,37,41,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7555555555555555
1,1,0,0,93.7,157.3,50.8,1876,90,2.97,3.23,9.4,68,5500,31,38,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7555555555555555
